pipe_id,pipe_name,from_node,to_node,diameter,length,friction_factor,disc_seg
1,Pipe1,26,2,0.9144,99.99999999,0.01,0
2,Pipe2,2,3,0.635,30,0.01,0
3,Pipe3,28,4,0.635,5,0.01,0
4,Pipe4,4,5,0.635,15,0.01,0
5,Pipe5,5,6,0.635,9.999999999,0.01,0
6,Pipe6,5,7,0.635,5,0.01,0
7,Pipe7,7,8,0.635,9.999999999,0.01,0
8,Pipe8,27,9,0.9144,5,0.01,0
9,Pipe9,9,10,0.9144,60,0.01,0
10,Pipe10,10,11,0.635,5,0.01,0
11,Pipe11,11,12,0.635,8,0.01,0
12,Pipe12,11,13,0.635,6,0.01,0
13,Pipe13,10,14,0.9144,80,0.01,0
14,Pipe14,29,15,0.9144,9.999999999,0.01,0
15,Pipe15,15,16,0.9144,20,0.01,0
16,Pipe16,16,17,0.635,3,0.01,0
17,Pipe17,17,18,0.635,6,0.01,0
18,Pipe18,16,19,0.635,5,0.01,0
19,Pipe19,15,20,0.9144,40.00000001,0.01,0
20,Pipe20,30,21,0.9144,5,0.01,0
21,Pipe21,21,22,0.9144,20,0.01,0
22,Pipe22,22,23,0.9144,5,0.01,0
23,Pipe23,23,24,0.9144,16,0.01,0
24,Pipe24,22,25,0.635,8,0.01,0
