1,2,3,4,5,6
4000000.000000002,3605891.352590454,3451646.959807201,4405390.779076869,4917222.555637837,4747999.983729207
4000000.000000002,3729966.323100585,3592922.407235191,4600729.273780441,4941382.641687498,4907922.597882156
4000000.000000002,3842069.599380899,3721286.306189904,4763025.854575132,4968802.524982725,5052254.650124877
4000000.080322193,3936258.947361662,3827408.476596841,4894895.49474604,4994670.537112579,5173407.645096478
4255305.513372419,4054086.290291907,3936424.082334493,5033337.317631856,5212261.372804461,5324818.175671412
4499999.748087902,4171137.393160791,4028794.40519806,5174549.675353874,5439110.228556313,5475073.797763225
4499999.999999999,4220749.191374507,4047788.593970158,5263168.544606171,5468474.398541452,5538711.976370409
4499999.999999999,4116300.892311342,3000001.193466644,5182327.122239224,5453833.156709437,5404672.109886857
4499999.831786607,4134762.525001011,3000001.092165436,4726242.542238679,5453632.282734742,4813497.870657194
4249999.999999998,4088995.57836398,3000000.915078095,4236078.087548633,5258539.15288414,4296206.314595568
4000000.1682134,3931387.2354363,3000000.498967246,3872187.810640465,5027820.392340799,3931664.528203881
4000000.000000002,3391064.266288746,3000039.955996749,4163942.007497672,4904615.770046814,4470656.82669017
4000000.000000002,3408693.952075153,3046162.118079662,4296332.201645739,4883521.498468513,4493450.411673512
4000000.000000002,3441533.380453187,3080213.545893122,4362193.971645681,4885364.507536169,4535875.555731005
4000000.1682134,3623882.21162686,3212225.546252093,4535630.584393623,4915348.639451381,4771202.981574779
4249999.999999998,3792261.786103802,3000001.07640724,4708743.733867105,5146501.738276196,4988132.930719337
4499999.831786607,3916500.616712156,3000001.100298425,4830909.423620982,5385432.222767395,5147976.274739279
4499999.999999999,3931225.023902495,3000001.025505364,4402888.733626716,5407597.951565047,4529283.973297272
4499999.999999999,3990673.497796987,3000000.916110631,3880556.630394254,5420046.013654061,3990696.151022756
4499999.999999999,3842433.935691675,3000000.694108527,3643479.575314701,5399925.017538195,3842434.15809019
4499999.999999999,3784036.134949907,3000000.38827799,3547478.780774798,5387044.965600831,3784034.151429328
4499999.919677809,3658054.736039029,3000000.854927573,3250401.929746497,5367824.56993039,3777228.944938518
4244694.486627583,3457720.847841513,3204663.12056674,3805069.19696547,5128307.707191012,4329618.434246312
4000000.251912095,3499464.106842248,3317963.816060905,4153101.65071586,4915954.977374041,4556746.509252114
4000000.000000002,3605891.352590454,3451646.959807201,4405390.779076869,4917222.555637837,4747999.983729207
