1,2,3,4
498188.0191553384,639720.2053633309,830876.5202595352,175600.3747434999
506781.8021171307,665632.7751211997,867357.9196780983,184169.0934804014
515279.9720481536,689495.4095145516,898774.7713198597,191598.9541327228
522735.3510263283,709547.7772230133,924888.7962679748,197772.7661009803
543698.4797587736,732011.7207478165,954298.6676456714,203974.176375337
566195.5334221716,753001.3680150085,984227.0255455994,209938.0596365039
572348.4772693656,760618.5563989389,1000844.348451704,213287.0643988518
565934.2124885401,668522.1318464404,980830.7969096033,194814.612645088
560008.9106572964,651727.1948790985,876429.6909729777,180531.06971553
540082.0659938685,640671.5910296738,775031.2752642336,166451.6120562648
513907.1606195979,622970.4778618015,702863.3812013634,155732.0349407693
488358.3974575431,582194.0551757902,777151.756604159,160443.1651163785
485240.799113549,583342.59285455,796611.4561714246,164901.0582966839
486816.7834228292,589308.3937414191,807899.5129195484,167742.6998095324
498593.5127706596,618006.1454046315,847043.4003499155,174402.5355961527
523301.6552857144,619348.0002530579,886256.6764927422,175894.3945827897
547162.961799264,631331.9289543494,915521.363883723,178989.9114532335
544344.7546364776,626945.5098455942,816250.9148773842,169886.0541457211
542332.1930057115,626215.6311217471,711642.4589633599,156408.1192030947
533797.8096104795,613217.0707799562,672358.6570478164,149027.0420548437
529440.2486042985,606372.8945574032,656167.9116697552,145844.4746467271
522868.2803706352,595280.4780412032,629719.2329430172,138718.3828293763
504599.0864893099,600617.4116341107,724948.7333508725,154021.1473525207
492851.4285344736,616223.3081278224,785246.5382213057,165736.5350150984
498188.0191553384,639720.2053633309,830876.5202595352,175600.3747434999
