1,2,3,4
4917222.555637837,3605891.352590454,4747999.983729207,3451646.959807201
4941382.641687498,3729966.323100585,4907922.597882156,3592922.407235191
4968802.524982725,3842069.599380899,5052254.650124877,3721286.306189904
4994670.537112579,3936258.947361662,5173407.645096478,3827408.476596841
5212261.372804461,4054086.290291907,5324818.175671412,3936424.082334493
5439110.228556313,4171137.393160791,5475073.797763225,4028794.40519806
5468474.398541452,4220749.191374507,5538711.976370409,4047788.593970158
5453833.156709437,4116300.892311342,5404672.109886857,3000001.193466644
5453632.282734742,4134762.525001011,4813497.870657194,3000001.092165436
5258539.15288414,4088995.57836398,4296206.314595568,3000000.915078095
5027820.392340799,3931387.2354363,3931664.528203881,3000000.498967246
4904615.770046814,3391064.266288746,4470656.82669017,3000039.955996749
4883521.498468513,3408693.952075153,4493450.411673512,3046162.118079662
4885364.507536169,3441533.380453187,4535875.555731005,3080213.545893122
4915348.639451381,3623882.21162686,4771202.981574779,3212225.546252093
5146501.738276196,3792261.786103802,4988132.930719337,3000001.07640724
5385432.222767395,3916500.616712156,5147976.274739279,3000001.100298425
5407597.951565047,3931225.023902495,4529283.973297272,3000001.025505364
5420046.013654061,3990673.497796987,3990696.151022756,3000000.916110631
5399925.017538195,3842433.935691675,3842434.15809019,3000000.694108527
5387044.965600831,3784036.134949907,3784034.151429328,3000000.38827799
5367824.56993039,3658054.736039029,3777228.944938518,3000000.854927573
5128307.707191012,3457720.847841513,4329618.434246312,3204663.12056674
4915954.977374041,3499464.106842248,4556746.509252114,3317963.816060905
4917222.555637837,3605891.352590454,4747999.983729207,3451646.959807201
