1,2,3,4
3605891.352590454,3451646.959807201,4405390.779076869,4405390.779076869
3729966.323100585,3592922.407235191,4600729.273780441,4600729.273780441
3842069.599380899,3721286.306189904,4763025.854575132,4763025.854575132
3936258.947361662,3827408.476596841,4894895.49474604,4894895.49474604
4054086.290291907,3936424.082334493,5033337.317631856,5033337.317631856
4171137.393160791,4028794.40519806,5174549.675353874,5174549.675353874
4220749.191374507,4047788.593970158,5263168.544606171,5263168.544606171
4116300.892311342,3000001.193466644,5182327.122239224,5182327.122239224
4134762.525001011,3000001.092165436,4726242.542238679,4726242.542238679
4088995.57836398,3000000.915078095,4236078.087548633,4236078.087548633
3931387.2354363,3000000.498967246,3872187.810640465,3872187.810640465
3391064.266288746,3000039.955996749,4163942.007497672,4163942.007497672
3408693.952075153,3046162.118079662,4296332.201645739,4296332.201645739
3441533.380453187,3080213.545893122,4362193.971645681,4362193.971645681
3623882.21162686,3212225.546252093,4535630.584393623,4535630.584393623
3792261.786103802,3000001.07640724,4708743.733867105,4708743.733867105
3916500.616712156,3000001.100298425,4830909.423620982,4830909.423620982
3931225.023902495,3000001.025505364,4402888.733626716,4402888.733626716
3990673.497796987,3000000.916110631,3880556.630394254,3880556.630394254
3842433.935691675,3000000.694108527,3643479.575314701,3643479.575314701
3784036.134949907,3000000.38827799,3547478.780774798,3547478.780774798
3658054.736039029,3000000.854927573,3250401.929746497,3250401.929746497
3457720.847841513,3204663.12056674,3805069.19696547,3805069.19696547
3499464.106842248,3317963.816060905,4153101.65071586,4153101.65071586
3605891.352590454,3451646.959807201,4405390.779076869,4405390.779076869
